OID_,AREA,PERIMETER,NAME_U,NAME_L,aws0_5,aws5_20,aws20_50,aws0_20,tk0_20a,tk0_30a,soc0_20,soc0_30,nccpi3corn,nccpi3soy,nccpi3all,slope_r,elev_r,W_avg_sand,W_avg_silt,W_avg_clay,Shape_Length,Shape_Area
1,835203110.4,116410.3184,STEUBEN,Steuben,19.3299999,58,115.1299973,77.3399963,20,30,23997,35881,0.039,0.027,0.11,0,266,51.87192118,4.034482759,1.729064039,116410.3183,8165.79
2,1001560141,129036.3682,LAGRANGE,Lagrange,18.8999996,56.7000008,112.8099976,75.5999985,20,30,23757,35599,0.24,0.345,0.345,1,275,51.87192118,4.034482759,1.729064039,129036.3682,16088.25
3,1211453016,139308.15,ELKHART,Elkhart,6.9000001,20.7199993,43.6500015,27.6399994,20,30,3127,3707,0.653,0.504,0.653,1,237,85.84729064,9.699507389,4.45320197,139308.1501,9535.545
4,1194457184,155508.9199,ST JOSEPH,St Joseph,4.9099998,14.7299995,28.8500004,19.6399994,20,30,1977,2418,0.518,0.356,0.518,8,242,91.99014778,4.290640394,3.719211823,155508.9199,4626.815
5,1620568694,177807.0941,LAKE,Lake,9.0100002,27.0300007,45.2799988,36.0400009,20,30,4274,5122,0.571,0.452,0.571,4,230,13.03947368,53.625,33.33552632,177807.0942,143129.195
6,1350912994,168663.4728,PORTER,Porter,4,12,21.2999992,16,20,30,2697,3254,0.445,0.292,0.445,1,232.8999939,88.60526316,7.546052632,3.848684211,168663.4727,157315.32
7,1587317574,178707.1226,LA PORTE,La Porte,5.8499999,17.5499992,31.8600006,23.3999996,18,27,4224,5219,0.572,0.365,0.572,1,232.8999939,77.84868421,13.31578947,8.835526316,178707.1227,27024.12
8,942112539.9,123023.0171,DE KALB,De Kalb,8.4899998,25.4599991,52.9399986,33.9399986,20,30,2893,3627,0.708,0.562,0.708,0.5,274.2999878,44.35,35.74,19.91,123023.0172,5691.935
9,1080289814,134777.4544,NOBLE,Noble,7.0700002,21.2099991,34.5900002,28.2800007,20,30,2845,3667,0.522,0.444,0.522,1,325,77.72413793,11.57142857,10.7044335,134777.4542,50835.435
10,1163596357,136821.3974,MARSHALL,Marshall,8.5,25.4799995,47.6399994,33.9799995,20,30,3336,4650,0.686,0.56,0.686,1,229,40.3546798,39.1773399,20.4679803,136821.3973,7569.42
11,1435073377,158835.8354,KOSCIUSKO,Kosciusko,8.5,25.4799995,47.6399994,33.9799995,20,30,3336,4650,0.686,0.56,0.686,1,229,40.3546798,39.1773399,20.4679803,158835.8354,117403.97
12,807851836.1,124785.1873,STARKE,Starke,10.5,31.5,63,42,20,30,7343,11014,0.376,0.755,0.755,0.5,229,54.84210526,28.10526316,17.05263158,124785.1874,200958.875
13,874981211.5,127879.7362,WHITLEY,Whitley,20,60,120,80,20,30,38066,49866,0.905,0.926,0.926,1,266.6000061,0,0,0,127879.7362,3946.055
14,1709321305,166812.797,ALLEN,Allen,7.5999999,22.7999992,40.8499985,30.3999996,19,28.5,3885,5164,0.66,0.496,0.66,4,292.5,35.29605263,34.72368421,29.98026316,166812.7971,7204.345
15,1452949982,172511.6917,JASPER,Jasper,10.5,31.5,57.9000015,42,20,30,5046,7570,0.35,0.623,0.623,1,220.3999939,58.06578947,26.39473684,15.53947368,172511.6916,907526.315
16,1043810941,147306.6674,NEWTON,Newton,9,27,47.8899994,36,20,30,8333,11879,0.773,0.555,0.773,1,207,51.2955665,3.458128079,2.881773399,147306.6673,7159610.21
17,961381020.5,145827.7634,FULTON,Fulton,6.7199998,20.1399994,42.3800011,26.8600006,20,30,2865,3619,0.756,0.588,0.756,1,229,40.3546798,39.1773399,20.4679803,145827.7635,39395.255
18,1124643616,135689.1653,PULASKI,Pulaski,3.8800001,11.6400003,20.8500004,15.5200005,19.3999996,29.1000004,3436,4527,0.349,0.256,0.354,1,222,95.85714286,3.128078818,1.014778325,135689.1652,7949.57
19,1089802886,138182.5487,WABASH,Wabash,7.5999999,22.7099991,43.6500015,30.2999992,20,30,2227,2866,0.452,0.233,0.452,3,285,43.445,38.11,18.445,138182.5488,2389.35
20,1004022834,129439.5566,HUNTINGTON,Huntington,10.3599997,31.0900002,46.9300003,41.4599991,20,30,4222,5544,0.668,0.567,0.668,1,259.1000061,23.605,41.98,34.415,129439.5564,27113.47
21,976528540.4,147125.5136,MIAMI,Miami,8.5699997,25.6900005,53.1800003,34.2400017,20,30,3381,4190,0.76,0.659,0.76,4,274.2999878,51.445,32.305,16.25,147125.5139,2138.335
22,880339997.3,123224.0077,ADAMS,Adams,10.54,31.6299992,48.1599998,42.1800003,20,30,4349,5764,0.687,0.575,0.687,0.5,259.1000061,18.965,42.49,38.545,123224.0076,286294.645
23,958619061.8,141567.571,WELLS,Wells,10.54,31.6299992,48.1599998,42.1800003,20,30,4349,5764,0.687,0.575,0.687,0.5,259.1000061,18.965,42.49,38.545,141567.5709,5274.89
24,1316738458,170432.3147,WHITE,White,5.4899998,16.4899998,36.3499985,22,20,30,5567,8187,0.509,0.398,0.509,1,212.6000061,85.33552632,7.782894737,6.881578947,170432.3147,3397.125
25,1073801001,147649.174,CASS,Cass,8.1999998,24.2999992,42.7599983,32.5,20,30,3335,4235,0.682,0.551,0.682,3,229,42.03940887,37.93596059,20.02463054,147649.174,9124.715
26,1051997674,130767.1265,BENTON,Benton,10.8500004,32.5499992,56.5099983,43.4000015,20,30,7737,11442,0.765,0.773,0.775,1,212.6000061,49.15789474,34.66447368,16.17763158,130767.1265,10166864.96
27,970406171.8,140073.5824,CARROLL,Carroll,10.5,31.5,60.2000008,42,20,30,2422,3633,0.712,0.675,0.712,1,197.1999969,38.88157895,45.73684211,15.38157895,140073.5826,13067.115
28,1074278111,131540.4319,GRANT,Grant,10.54,31.6299992,48.1599998,42.1800003,20,30,4349,5764,0.687,0.575,0.687,0.5,259.1000061,18.965,42.49,38.545,131540.4318,1121769.365
29,994959658.4,128724.6054,JAY,Jay,9.2200003,27.1599998,45.1399994,36.3899994,20,30,2360,3020,0.561,0.33,0.561,1,259.7999878,23.01477833,41.76847291,35.21674877,128724.6054,11842.485
30,428882449.2,83330.95145,BLACKFORD,Blackford,9.4399996,28.3400002,37.2700005,37.7999992,18,27,3682,4637,0.665,0.568,0.665,0.5,258.2000122,14.88157895,52.89473684,32.22368421,83330.95148,9693.69
31,760587830.5,128462.3839,HOWARD,Howard,10.54,31.6299992,48.1599998,42.1800003,20,30,4349,5764,0.687,0.575,0.687,0.5,259.1000061,18.965,42.49,38.545,128462.3839,141647.785
32,1302322797,145012.5148,TIPPECANOE,Tippecanoe,10.3500004,31.0499992,57.7799988,41.4000015,18,27,4229,6343,0.933,0.882,0.933,1,197.1999969,27.70394737,49.27631579,23.01973684,145012.5151,23961.64
33,948193947.1,144068.6231,WARREN,Warren,10.3500004,31.0499992,53.8199997,41.4000015,18,27,4186,6072,0.872,0.725,0.872,3,240.5,33.75,42.84210526,23.40789474,144068.6231,27107.815
34,1048797387,132964.602,CLINTON,Clinton,9.4499998,28.3500004,49.4099998,37.7999992,18,27,2271,3019,0.874,0.718,0.874,1,201.5,27.1030303,47.16969697,25.72727273,132964.6021,12695.68
35,674174782.4,106428.6952,TIPTON,Tipton,10.6000004,31.7999992,51.3600006,42.4000015,20,30,4244,5415,0.684,0.574,0.684,0.5,274,25.135,48.755,26.11,106428.6953,19576.965
36,1024712381,128608.3211,DELAWARE,Delaware,10.5,23.1000004,26.7000008,33.5999985,20,30,1913,2546,0.12,0.063,0.12,50,257.6000061,32.68421053,36.53289474,30.78289474,128608.3213,6537.89
37,1172512582,145293.7322,MADISON,Madison,9,27,45.2000008,36,20,30,6545,9368,0.591,0.729,0.729,1,257.6000061,41.06578947,36.65789474,22.27631579,145293.7323,944989.065
38,1029786599,142438.1468,FOUNTAIN,Fountain,10.5,31.5,57.5999985,42,20,30,5046,6565,0.948,0.824,0.948,1,203,30.25657895,49.27631579,20.46710526,142438.1467,71993.425
39,1173508224,137223.5516,RANDOLPH,Randolph,10.3900003,31.0400009,44.3600006,41.4399986,20,30,2982,3913,0.565,0.384,0.565,4,259.1000061,25.28,42.825,31.895,137223.5516,215267.995
40,1041451390,129218.685,HAMILTON,Hamilton,11.1300001,33.3800011,56.7000008,44.5,20,30,3861,5186,0.83,0.715,0.83,1,214,32.47,45.71,21.82,129218.6851,8649.14
41,1308143679,145169.6661,MONTGOMERY,Montgomery,11.5,34.5,63.25,46,20,30,7309,10848,0.932,0.772,0.932,0.5,203,26.57303371,47.73595506,25.69101124,145169.6662,22877.595
